,size,db,task,method,trial,fold,score,scorer,selection,X_shape,Type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
129,2500,MIMIC,hemo_pvals,Mean,0,4,0.7434240238055477,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.013859,67.544533,0.013825,2155.186456
130,2500,MIMIC,hemo_pvals,Mean,1,0,0.7074801839786351,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.013636,70.936429,0.013634,2264.523994
131,2500,MIMIC,hemo_pvals,Mean,1,1,0.7569767196000075,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.009711,69.74425,0.310396,2231.550775
132,2500,MIMIC,hemo_pvals,Mean,1,2,0.7789665161128019,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.01005,67.62905500000001,0.32115900000000003,2164.033585
133,2500,MIMIC,hemo_pvals,Mean,1,3,0.7790880293495892,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.00969,68.752041,0.009689,2199.085177
134,2500,MIMIC,hemo_pvals,Mean,1,4,0.7840739556485317,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.010452,71.292777,0.01045,2276.816516
135,2500,MIMIC,hemo_pvals,Mean,2,0,0.7690893799761204,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.013828,76.864273,0.013825,2457.822321
136,2500,MIMIC,hemo_pvals,Mean,2,1,0.7443663555047525,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.010157,75.982943,0.32463600000000004,2431.22414
137,2500,MIMIC,hemo_pvals,Mean,2,2,0.7726835136829687,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.009417,71.33492700000001,0.300737,2278.947454
138,2500,MIMIC,hemo_pvals,Mean,2,3,0.7141577160689605,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.013318,69.190646,0.013316,2212.803112
139,2500,MIMIC,hemo_pvals,Mean,2,4,0.7031407460722874,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.00949,71.92049499999999,0.009488,2300.1877510000004
140,2500,MIMIC,hemo_pvals,Mean,3,0,0.7508117783263709,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.012156,74.977817,0.012155,2397.62279
141,2500,MIMIC,hemo_pvals,Mean,3,1,0.7781753423924558,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.009954000000000001,68.145421,0.31806100000000004,2180.501773
142,2500,MIMIC,hemo_pvals,Mean,3,2,0.7700565235045694,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.010263,74.237844,0.32803000000000004,2371.888926
143,2500,MIMIC,hemo_pvals,Mean,3,3,0.787180698727002,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.009855,70.96271,0.314854,2270.200768
144,2500,MIMIC,hemo_pvals,Mean,3,4,0.7688176149316294,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.009695,72.391684,0.009694,2315.279959
145,2500,MIMIC,hemo_pvals,Mean,4,0,0.7930373260528953,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.012364,75.701414,0.012361,2420.59857
146,2500,MIMIC,hemo_pvals,Mean,4,1,0.7625821217609235,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.009836,73.27969399999999,0.314392,2344.14999
147,2500,MIMIC,hemo_pvals,Mean,4,2,0.7641909639201482,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.010225,74.857412,0.32681,2394.846338
148,2500,MIMIC,hemo_pvals,Mean,4,3,0.7812744477426198,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.009987000000000001,74.096563,0.319211,2366.9250239999997
149,2500,MIMIC,hemo_pvals,Mean,4,4,0.7615076616771157,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.009812999999999999,67.08907099999999,0.009812000000000001,2145.937109
150,2500,MIMIC,hemo_pvals,Mean+mask,0,0,0.780175477886619,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.01789,114.259925,0.017847,3641.452515
151,2500,MIMIC,hemo_pvals,Mean+mask,0,1,0.7429221775896969,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.014525,109.83740800000001,0.463437,3505.30224
152,2500,MIMIC,hemo_pvals,Mean+mask,0,2,0.7387140913498196,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.015061000000000001,122.344067,0.48081199999999996,3905.365196
153,2500,MIMIC,hemo_pvals,Mean+mask,0,3,0.7876669674291881,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.01911,100.87546800000001,0.019063,3212.883695
154,2500,MIMIC,hemo_pvals,Mean+mask,0,4,0.7714896116107279,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.019354,96.859853,0.019306999999999998,3090.133555
155,2500,MIMIC,hemo_pvals,Mean+mask,1,0,0.7563836521545513,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.016986,115.77656599999999,0.016984,3698.5695020000003
